"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",14101,2
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",9060,2
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9463,-1
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",114091,914
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",21727,-1
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",89181,288
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",113513,-3
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",19546,2
"Jonathan Edward Gullis",,"Conservative","Stoke-on-Trent North",,
"Jonathan Edwards ",,"Independent","Carmarthen East and Dinefwr",,
"Jonathan Lord","@JonathanLord","Conservative","Woking",3058,1
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",53115,-1
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",18583,9
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15377,-1
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",7937,1
"Julian Knight ","@julianknight15","Conservative","Solihull",13167,-3
"Julian Lewis",,"Independent","New Forest East",,
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",37446,5
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",2404,1
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22049,1
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",4749,3
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",29870,0
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",21162,2
"Karen Bradley",,"Conservative","Staffordshire Moorlands",,
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",18477,7
"Karin Smyth ","@karinsmyth","Labour","Bristol South",13809,1
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",11531,-1
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",40296,42
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",51020,1
"Kate Griffiths",,"Conservative","Burton",,
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10112,4
"Kate Osamor ","@KateOsamor","Labour","Edmonton",35729,-1
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",15250,15
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",4612,6
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1202404,316
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15433,1
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",48448,44
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19943,4
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32864,-2
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",23420,-2
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",26352,-3
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",8547,5
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",12331,0
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7042,-2
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",4640,0
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",17025,1
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",16245,-4
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",27096,-2
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",18118,4
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",31843,38
"Laura Farris","@Laura__Farris","Conservative","Newbury",7600,4
"Laura Trott",,"Conservative","Sevenoaks",,
"Laurence Robertson","@lrobertsonTewks","Conservative","Tewkesbury",4722,4
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",76316,6
"Lee Anderson",,"Conservative","Ashfield",,
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",10420,0
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",8031,5
"Lia Nici","@lia_nici","Conservative","Great Grimsby",4229,1
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",38375,-2
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",30224,3
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",41434,9
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14432,0
"Lisa Nandy ","@lisanandy","Labour","Wigan",249985,60
"Liz Kendall ","@leicesterliz","Labour","Leicester West",96748,3
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",20268,5
"Liz Twist","@LizTwistMP","Labour","Blaydon",4574,2
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",31900,0
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",52588,57
"Lucy Allan ","@lucyallan","Conservative","Telford",30577,5
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",9974,4
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",62217,0
"Luke Evans","@drlukeevans","Conservative","Bosworth",9494,4
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",5481,1
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",40863,16
"Lyn Brown ","@lynbrownmp","Labour","West Ham",14315,4
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",3537,2
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",4413,1
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",26114,-8
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",10008,0
"Margaret Beckett",,"Labour","Derby South",,
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16083,-2
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",22291,2
"Margaret Hodge ","@margarethodge","Labour","Barking",52597,3
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",23009,3
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48085,-5
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",21418,6
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",13510,-5
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",12146,2
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",5279,1
"Mark Fletcher",,"Conservative","Bolsover",,
"Mark Francois",,"Conservative","Rayleigh and Wickford",,
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",16269,-4
"Mark Harper ","@Mark_J_Harper","Conservative","Forest of Dean",46306,-13
"Mark Hendrick","@MpHendrick","Labour","Preston",5792,-4
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",9103,5
"Mark Logan",,"Conservative","Bolton North East",,
"Mark Menzies",,"Conservative","Fylde",,
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",8023,1
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",11473,0
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",21199,-1
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",10070,1
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",40601,11
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",14024,0
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",12955,-1
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",11274,-1
"Mary Foy","@marykfoy","Labour","City of Durham",15003,5
"Mary Glindon","@GlindonMary","Labour","North Tyneside",1255,2
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",10364,3
"Matt Rodda","@MattRodda","Labour","Reading East",7277,-2
"Matt Vickers","@Matt_VickersMP","Conservative","Stockton South",6849,2
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",19867,0
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",10955,4
"Matthew Hancock ","@MattHancock","Conservative","West Suffolk",425618,-40
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",10533,0
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",23119,0
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",20739,1
"Mel Stride","@MelJStride","Conservative","Central Devon",6465,-3
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",200411,-5
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",14396,-2
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",48918,30
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",236477,35
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",10676,0
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",20591,7
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",20497,-51
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",12770,0
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5308,1
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",11980,1
"Mike Freer ",,"Conservative","Finchley and Golders Green",,
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",12216,1
"Mike Penning",,"Conservative","Hemel Hempstead",,
"Mike Wood ","@mikejwood","Conservative","Dudley South",7480,-1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",17090,-2
"Miriam Joy Cates",,"Conservative","Penistone and Stocksbridge",,
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",3224,2
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",16046,7
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",84231,65
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",92176,58
"Nadine Dorries ","@NadineDorries","Conservative","Mid Bedfordshire",121331,45
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",7508,45
"Nav Mishra","@NavPMishra","Labour","Stockport",12581,0
"Naz Shah ","@NazShahBfd","Labour","Bradford West",56378,3
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",8423,2
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",28930,1
"Neil Gray ","@neilgraysnp","Scottish National Party","Airdrie and Shotts",16803,13
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",4227,4
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",34137,1
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",7443,22
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",18719,2
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",3769,0
"Nick Brown",,"Labour","Newcastle upon Tyne East",,
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",18705,-2
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",10753,2
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",34516,0
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",4146,-1
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",8877,4
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",14380,5
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13737,2
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",18128,5
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",6236,4
"Nusrat Ghani ","@Nus_Ghani","Conservative","Wealden",28856,-4
"Oliver Dowden","@OliverDowden","Conservative","Hertsmere",40725,30
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",11893,2
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",17340,1
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",8083,4
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",8142,2
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",27834,0
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13350,-1
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",17037,1
"Paul Beresford",,"Conservative","Mole Valley",,
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",22297,-1
"Paul Bristow","@paulbristow79","Conservative","Peterborough",9957,1
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6556,0
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",7466,2
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",3410,3
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",20079,1
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",19180,0
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",16616,4
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",16123,6
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",21431,0
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",93162,27
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",55490,12
"Peter Aldous ","@peter_aldous","Conservative","Waveney",13995,-1
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",43954,3
"Peter Bottomley","@PBottomleyMP","Conservative","Worthing West",5608,8
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",17177,3
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",3932,3
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16687,0
"Peter Kyle ","@peterkyle","Labour","Hove",50489,6
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",21587,-3
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",12608,-1
"Philip Hollobone",,"Conservative","Kettering",,
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",40284,0
"Priti Patel ","@pritipatel","Conservative","Witham",384435,144
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",34492,8
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",8932,-1
"Rachel Maclean","@redditchrachel","Conservative","Redditch",12169,0
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",127055,45
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2153,1
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",7186,1
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",191278,-14
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",14896,8
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",19856,2
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1775,2
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",165824,45
"Richard Drax",,"Conservative","South Dorset",,
"Richard Fuller",,"Conservative","North East Bedfordshire",,
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",3505,2
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",13042,3
"Richard Holden","@RicHolden","Conservative","North West Durham",9101,5
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",501747,103
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1039,1
"Rob Roberts",,"Conservative","Delyn",,
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",6124,5
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",30166,0
"Robert Courts ","@robertcourts","Conservative","Witney",10254,5
"Robert Goodwill",,"Conservative","Scarborough and Whitby",,
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",37485,4
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",55908,-2
"Robert Largan","@robertlargan","Conservative","High Peak",6978,2
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",18270,5
"Robert Syms ","@RobertSyms","Conservative","Poole",13107,7
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",3706,2
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",16157,4
"Roger Gale","@SirRogerGale","Conservative","North Thanet",11055,1
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13482,-3
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",14697,2
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",45727,224
"Rosie Winterton",,"Labour","Doncaster Central",,
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",8233,1
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",46360,11
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",23326,1
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",4431,3
"Ruth Jones","@RuthNewportWest","Labour","Newport West",7230,-1
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",281556,51
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",4496,5
"Sam Tarry","@SamTarry","Labour","Ilford South",21998,-1
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",23534,1
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",7878,-3
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",6587,4
"Sarah Atherton",,"Conservative","Wrexham",,
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",49561,2
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1881,2
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",10461,1
"Sarah Jones","@LabourSJ","Labour","Croydon Central",22612,-4
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",17642,1
"Sarah Owen","@SarahOwen_","Labour","Luton North",21691,1
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",7101,9
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",9002,2
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",25843,-1
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",4646,3
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",25404,-6
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4424,1
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34819,-5
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",4338,0
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18706,-2
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",4699,6
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",19657,1
"Simon Fell","@simonfell","Conservative","Barrow and Furness",4637,2
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",10981,4
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",21439,4
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",8325,4
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",21618,-3
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",13003,5
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",153647,1
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",10572,-4
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",37305,6
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22753,0
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",36204,8
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",16285,7
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",9817,7
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",20156,1
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",36019,-7
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",16341,2
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",7592,2
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",16055,53
"Stephen Timms ","@stephenctimms","Labour","East Ham",18593,3
"Steve Brine","@BrineMP","Conservative","Winchester",11954,0
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14499,1
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",18893,0
"Steve Reed ","@SteveReedMP","Labour","Croydon North",35657,-5
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",152549,-5
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",3973,1
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28482,-1
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",36837,4
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",20057,4
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",13590,-1
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",7405,9
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",31838,-1
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",4968,1
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",3634,1
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",21012,-2
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",94357,-13
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",35609,0
"Theo Clarke","@theodoraclarke","Conservative","Stafford",8782,19
"Theresa May ","@theresa_may","Conservative","Maidenhead",1007336,43
"Theresa Villiers",,"Conservative","Chipping Barnet",,
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",284157,68
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",22177,-1
"Tobias Ellwood","@Tobias_Ellwood","Conservative","Bournemouth East",79064,443
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",29589,-4
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",12868,0
"Tom Pursglove ","@VotePursglove","Conservative","Corby",14071,2
"Tom Randall","@Tom_Randall","Conservative","Gedling",4679,2
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",110998,96
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",38471,-1
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",17208,-3
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",9377,2
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",40752,1
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",67089,14
"Trudy Harrison ",,"Conservative","Copeland",,
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",188803,203
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",8330,1
"Vicky Ford","@vickyford","Conservative","Chelmsford",34749,37
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",22303,2
"Victoria Atkins",,"Conservative","Louth and Horncastle",,
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",13624,-2
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",20120,2
"Virginia Crosbie",,"Conservative","Ynys Môn",,
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",15076,-2
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",7499,-4
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",18822,12
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",22979,4
"Wes Streeting ","@wesstreeting","Labour","Ilford North",120815,188
"Will Quince ","@willquince","Conservative","Colchester",19930,2
"William Cash ","@BillCashMP","Conservative","Stone",20491,2
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",18893,2
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",25076,-2
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",363567,192
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",13981,3
"Zarah Sultana","@zarahsultana","Labour","Coventry South",233748,127